distance_km,weight_kg,is_fragile,item_category_encoded,order_hour,is_prime_customer,estimated_delivery_days,shipping_type
752.2075371004881,9.33813314904712,1,2,1,1,5,1
1901.6750412877827,27.14085727418007,0,3,8,1,1,1
1465.3279139137533,43.659997210232774,0,6,12,1,1,1
1199.323675973088,36.6380218318371,0,2,14,0,1,1
316.25718768266086,40.34740127828634,1,8,2,0,6,0
316.2090680707243,32.9732899988648,1,7,10,0,3,0
120.87680627555793,34.64460056944084,1,3,20,0,3,0
1733.0214108209957,42.474863013109434,1,0,13,0,3,1
1204.2244484277016,12.558433642073378,1,0,7,1,6,1
1417.6047927031107,24.52230568579271,1,0,17,0,5,1
46.06606612012588,11.13835114679815,1,0,18,0,3,0
1939.9701550631787,49.38463359903268,0,7,15,0,2,1
1665.7230683968414,47.208561050362,1,2,1,0,1,1
428.6165258031609,2.067397887288444,0,5,7,1,5,0
367.74080957816574,35.308201108532856,0,2,21,0,1,0
370.8919971576005,46.269891039041724,1,4,5,1,3,1
611.9632747042778,9.110709721853942,1,6,11,1,5,1
1051.8890811063145,28.44046700457621,0,1,14,1,4,1
866.730312191021,45.78286604964329,0,5,7,0,2,0
586.0021346950937,1.7939043314313623,1,5,3,1,3,1
1225.646524971147,34.90127133561731,1,2,14,0,3,1
283.29025200082344,14.937715467890282,0,5,19,0,2,0
587.8285738277602,46.227370149288866,1,9,16,0,2,1
735.8918773709149,48.555806433751854,1,9,12,0,4,0
914.8596185129867,47.21889780676035,1,4,17,0,3,0
1571.4260429790622,23.76328941120744,0,1,1,1,6,1
403.3491954059277,43.11592828436674,0,8,12,1,3,0
1030.8977046351552,42.243014986900015,0,7,12,0,1,1
1186.8670648797747,16.023113614838458,1,2,21,1,5,1
97.66857337639546,41.4628821601188,1,7,14,0,5,0
1217.0519795433695,1.9466809723030818,0,8,19,1,1,1
345.1956267561466,29.853866936254448,0,2,9,1,5,0
134.77792800563265,11.577440980656382,0,2,2,1,2,1
1898.0266468203997,6.116287600286212,1,1,18,1,5,1
1931.435905983746,3.939964761297537,0,7,2,1,5,1
1617.75270949234,34.84480991631917,0,9,21,0,1,1
612.7044695008746,17.0597606920265,1,0,13,0,4,0
199.8558674427358,36.2658618992852,1,7,7,1,5,1
1370.044887891753,3.3612814058672242,1,6,22,0,6,1
883.1042250105046,15.832987857747455,0,6,3,1,5,0
248.46627851533376,27.020615489529327,1,2,19,0,4,0
992.877935671984,39.55708592546428,1,0,10,1,1,1
73.6050996248607,16.005749896310288,0,3,10,1,4,0
1819.09420214717,31.331979684206754,1,8,10,1,1,1
521.2660632920338,44.310289636985736,0,4,1,0,2,0
1326.731957286194,30.831573090297,0,0,16,0,1,1
626.8635967983748,11.724677790206325,1,4,8,1,2,1
1042.5357022497326,1.3175989996712472,1,7,1,1,2,1
1095.687007289843,43.5179338076564,1,7,23,0,1,1
373.7846387734264,1.1613436014343184,1,4,14,0,6,0
1939.3213323902944,43.74761346694155,1,8,15,0,3,1
1551.3899826054235,26.49396298795788,1,0,3,0,1,1
1879.3003884205573,46.95947815579352,0,3,7,0,5,0
1790.1805641031594,39.959283465105905,0,2,8,1,6,1
1197.810457728115,49.89691211561354,1,1,4,0,6,1
1844.139098871118,17.60051959104034,0,7,15,1,5,1
181.5425415935794,38.38269561766323,1,6,12,1,3,1
395.98581052619465,20.156352589101186,0,8,6,0,6,0
95.22844137652343,24.045793453165054,0,1,19,0,2,0
654.0340098727123,31.412522614596668,0,3,16,1,3,0
780.4111929305166,43.6964879978983,1,5,2,0,5,0
546.3413183889223,49.205765113044826,0,2,4,1,3,0
1658.331330758099,38.43684335183946,1,7,18,0,1,1
